record_no,date,datetime,forecast_no,point,warn_level,action,raw_action,wlobscd,kind,url,sphereLarge,codeWatershed,korStream,in_designFlood,coverageStream
24,2024-07-18,2024-07-18 14:30,홍수예보 제 2024-24호,가평군(대보교),경보,변경,홍수경보 변경,1015620,3,https://w.floodmap.go.kr?wlobscd=1015620&kind=3,한강,101504,조종천,Y,가평군(대보교);가평군(신상교);가평군(청평교)
23,2024-07-18,2024-07-18 13:30,홍수예보 제 2024-23호,원주시(문막교),주의보,발령,홍수주의보 발령,1006690,0,https://w.floodmap.go.kr?wlobscd=1006690&kind=0,한강,100610,섬강,Y,원주시(남한강대교);원주시(문막교);원주시(법천교)
22,2024-07-18,2024-07-18 11:20,홍수예보 제 2024-22호,여주시(흥천대교),주의보,발령,홍수주의보 발령,1007650,0,https://w.floodmap.go.kr?wlobscd=1007650&kind=0,한강,100714,복하천,Y,여주시(흥천대교);이천시(동산교);이천시(복하교)
21,2024-07-18,2024-07-18 11:10,홍수예보 제 2024-21호,평택시(진위1교),경보,변경,홍수경보 변경,1101663,3,https://w.floodmap.go.kr?wlobscd=1101663&kind=3,안성천,110114,동연교수위표,Y,용인시(전궁교);평택시(진위1교);평택시(회화리)
20,2024-07-18,2024-07-18 10:30,홍수예보 제 2024-20호,광주시(경안교),주의보,발령,홍수주의보 발령,1016650,0,https://w.floodmap.go.kr?wlobscd=1016650&kind=0,한강,101603,경안수위표,Y,광주시(경안교);광주시(오포대교);광주시(파발교)
19,2024-07-18,2024-07-18 10:20,홍수예보 제 2024-19호,횡성군(오산교),주의보,발령,홍수주의보 발령,1006630,0,https://w.floodmap.go.kr?wlobscd=1006630&kind=0,한강,100603,금계천,N,횡성군(오산교);횡성군(청곡교)
18,2024-07-18,2024-07-18 10:10,홍수예보 제 2024-18호,평택시(동연교),주의보,발령,홍수주의보 발령,1101670,0,https://w.floodmap.go.kr?wlobscd=1101670&kind=0,안성천,110115,진위천,Y,평택시(동연교)
17,2024-07-18,2024-07-18 09:40,홍수예보 제 2024-17호,평택시(진위1교),주의보,발령,홍수주의보 발령,1101663,0,https://w.floodmap.go.kr?wlobscd=1101663&kind=0,안성천,110114,동연교수위표,Y,용인시(전궁교);평택시(진위1교);평택시(회화리)
16,2024-07-18,2024-07-18 08:40,홍수예보 제 2024-16호,고양시(원당교),주의보,발령,홍수주의보 발령,1019667,0,https://w.floodmap.go.kr?wlobscd=1019667&kind=0,한강,101905,공릉천,Y,고양시(원당교);김포시(사우교);양주시(제궁교)
15,2024-07-18,2024-07-18 08:40,홍수예보 제 2024-15호,오산시(탑동대교),경보,변경,홍수경보 변경,1101645,3,https://w.floodmap.go.kr?wlobscd=1101645&kind=3,안성천,110111,오산천,Y,광주시(동림3교);오산시(탑동대교)
14,2024-07-18,2024-07-18 08:10,홍수예보 제 2024-14호,오산시(탑동대교),주의보,발령,홍수주의보 발령,1101645,0,https://w.floodmap.go.kr?wlobscd=1101645&kind=0,안성천,110111,오산천,Y,광주시(동림3교);오산시(탑동대교)
13,2024-07-18,2024-07-18 08:00,홍수예보 제 2024-13호,파주시(비룡대교),주의보,발령,홍수주의보 발령,1023660,0,https://w.floodmap.go.kr?wlobscd=1023660&kind=0,한강,102301,적성수위표,Y,연천군(삼화교);파주시(비룡대교)
12,2024-07-18,2024-07-18 07:50,홍수예보 제 2024-12호,서울시(신대방1교),주의보,발령,홍수주의보 발령,1018698,0,https://w.floodmap.go.kr?wlobscd=1018698&kind=0,한강,101816,안양천,Y,광명시(시흥대교);서울시(너부대교);서울시(신대방1교);서울시(신림5교);서울시(오금교);안양시(충훈1교)
11,2024-07-18,2024-07-18 06:40,홍수예보 제 2024-11호,서울시(너부대교),주의보,발령,홍수주의보 발령,1018695,0,https://w.floodmap.go.kr?wlobscd=1018695&kind=0,한강,101815,안양천,Y,광명시(시흥대교);서울시(너부대교);서울시(신대방1교);서울시(신림5교);서울시(오금교);안양시(충훈1교)
