obscd_wl,korObs_wl,region_wl,lat_wl,lon_wl,rank,stn_id_aws,stn_ko_aws,lat_aws,lon_aws,addr_aws,distance_km,weight_exp,reliability
1002695,영월군(북쌍리),한강,37.194167,128.409167,3,221,제천,37.15928,128.19433,충청북도 제천시 신월동,19.43,0.1433,D_주의
1002698,영월군(팔괴교),한강,37.171944,128.455278,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,1.05,0.9003,A_매우신뢰
1002698,영월군(팔괴교),한강,37.171944,128.455278,2,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,11.01,0.3325,C_보통
1002698,영월군(팔괴교),한강,37.171944,128.455278,3,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,17.04,0.182,D_주의
1003601,영월군(주채교),한강,37.120556,128.784167,1,581,상동,37.11663,128.77441,강원특별자치도 영월군 상동읍 내덕리,0.97,0.9076,A_매우신뢰
1003601,영월군(주채교),한강,37.120556,128.784167,2,674,사북,37.21963,128.82141,(산지)강원특별자치도 정선군 사북읍 사북리,11.5,0.3166,C_보통
1003601,영월군(주채교),한강,37.120556,128.784167,3,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,16.18,0.1983,D_주의
1003603,영월군(내리2교),한강,37.106944,128.675278,1,581,상동,37.11663,128.77441,강원특별자치도 영월군 상동읍 내덕리,8.86,0.4123,B_신뢰
1003603,영월군(내리2교),한강,37.106944,128.675278,2,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,11.97,0.3021,C_보통
1003603,영월군(내리2교),한강,37.106944,128.675278,3,814,부석,36.97916,128.66103,경상북도 영주시 부석면 소천리,14.27,0.24,C_보통
1003605,영월군(충혼교),한강,37.142222,128.680833,1,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,8.42,0.4308,B_신뢰
1003605,영월군(충혼교),한강,37.142222,128.680833,2,581,상동,37.11663,128.77441,강원특별자치도 영월군 상동읍 내덕리,8.77,0.416,B_신뢰
1003605,영월군(충혼교),한강,37.142222,128.680833,3,674,사북,37.21963,128.82141,(산지)강원특별자치도 정선군 사북읍 사북리,15.14,0.22,D_주의
1003620,영월군(옥동교),한강,37.122222,128.564167,1,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,7.97,0.4507,B_신뢰
1003620,영월군(옥동교),한강,37.122222,128.564167,2,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,11.51,0.3163,C_보통
1003620,영월군(옥동교),한강,37.122222,128.564167,3,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,12.01,0.3009,C_보통
