,지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m),대권역,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
157,원주시(판대2교),기후에너지환경부,2.62,2.61,-,83.1,한강,운영,T/M,1006677.0,100607,기후에너지환경부
158,음성군(병암교),기후에너지환경부,1.93,1.93,-,79.49,한강,운영,T/M,1007609.0,100704,기후에너지환경부
159,음성군(상우교),기후에너지환경부,1.78,1.78,-,69.77,한강,운영,T/M,1007613.0,100705,기후에너지환경부
160,음성군(총천교),기후에너지환경부,1.16,1.16,12.75,68.29,한강,운영,T/M,1007610.0,100704,기후에너지환경부
161,의정부시(금신교),기후에너지환경부,2.88,2.88,-,36.83,한강,운영,T/M,1018666.0,101808,기후에너지환경부
162,의정부시(신곡교),기후에너지환경부,0.43,0.42,0.9,33.48,한강,운영,T/M,1018665.0,101808,기후에너지환경부
163,이천시(고당교),기후에너지환경부,2.48,2.48,-,68.34,한강,운영,T/M,1007608.0,100703,기후에너지환경부
164,이천시(동산교),기후에너지환경부,1.48,1.47,3.43,60.46,한강,운영,T/M,1007642.0,100712,기후에너지환경부
165,이천시(복하교),기후에너지환경부,-0.38,-0.37,0.89,46.05,한강,운영,T/M,1007645.0,100713,기후에너지환경부
166,이천시(장호원교),기후에너지환경부,0.95,0.95,1.88,57.63,한강,운영,T/M,1007605.0,100705,기후에너지환경부
167,이포보(상류),기후에너지환경부,28.21,28.22,173.47,28.22,한강,운영,T/M,1007662.0,100710,기후에너지환경부
168,이포보(하류),기후에너지환경부,25.05,25.12,-,25.12,한강,운영,T/M,1007664.0,100715,기후에너지환경부
169,인제군(리빙스턴교),기후에너지환경부,1.59,1.58,13.94,194.52,한강,운영,T/M,1011695.0,101104,기후에너지환경부
170,인제군(반월촌교),기후에너지환경부,4.83,4.86,-,-,한강,운영,T/M,1011620.0,101102,기후에너지환경부
171,인제군(서호교),기후에너지환경부,3.09,3.08,-,285.25,한강,운영,T/M,1012639.0,101203,기후에너지환경부
172,인제군(십이선녀교),기후에너지환경부,3.55,3.55,-,305.9,한강,운영,T/M,1011640.0,101103,기후에너지환경부
173,인제군(양지교),기후에너지환경부,1.23,1.23,5.44,341.74,한강,운영,T/M,1012635.0,101202,기후에너지환경부
174,인제군(왕성동교),기후에너지환경부,0.8,0.8,13.27,374.61,한강,운영,T/M,1012630.0,101201,기후에너지환경부
175,인제군(진동2교),기후에너지환경부,3.27,3.27,-,385.96,한강,운영,T/M,1012638.0,101204,기후에너지환경부
176,인제군(하죽천교),기후에너지환경부,1.69,1.69,23.25,262.9,한강,운영,T/M,1012645.0,101205,기후에너지환경부
177,인제군(현리교),기후에너지환경부,0.68,0.67,4.28,286.63,한강,운영,T/M,1012640.0,101204,기후에너지환경부
178,인천시(굴포1교),기후에너지환경부,2.28,2.28,-,5.33,한강,운영,T/M,1019612.0,101903,기후에너지환경부
179,인천시(상야교),기후에너지환경부,1.28,1.35,-,3.12,한강,운영,T/M,1019657.0,101903,기후에너지환경부
180,인천시(연수교),기후에너지환경부,2.33,2.33,-,0.49,한강서해,운영,T/M,1201660.0,120102,기후에너지환경부
181,정선군(각희교),기후에너지환경부,2.41,2.41,-,524.99,한강,운영,T/M,1001641.0,100110,기후에너지환경부
182,정선군(광탄교),기후에너지환경부,1.6,1.59,-,298.21,한강,운영,T/M,1001661.0,100114,기후에너지환경부
183,정선군(광하교),기후에너지환경부,0.98,1.0,-,274.54,한강,운영,T/M,1001658.0,100112,기후에너지환경부
184,정선군(나전교),기후에너지환경부,1.26,1.25,11.08,334.46,한강,운영,T/M,1001630.0,100109,기후에너지환경부
185,정선군(낙동교),기후에너지환경부,1.5,1.48,4.57,325.5,한강,운영,T/M,1001660.0,100114,기후에너지환경부
186,정선군(남평대교),기후에너지환경부,1.97,1.97,20.59,334.03,한강,운영,T/M,1001629.0,100107,기후에너지환경부
187,정선군(삼거리교),기후에너지환경부,2.02,2.0,-,479.89,한강,운영,T/M,1001650.0,100113,기후에너지환경부
188,정선군(송계교),기후에너지환경부,-0.25,-0.27,0.27,490.75,한강,운영,T/M,1001620.0,100103,기후에너지환경부
189,정선군(송천교),기후에너지환경부,0.9,0.9,10.52,375.58,한강,운영,T/M,1001625.0,100106,기후에너지환경부
190,정선군(애산교),기후에너지환경부,1.52,1.52,-,302.44,한강,운영,T/M,1001649.0,100111,기후에너지환경부
191,정선군(오장2교),기후에너지환경부,1.93,1.93,-,445.18,한강,운영,T/M,1001623.0,100106,기후에너지환경부
192,정선군(와평교),기후에너지환경부,1.65,1.65,4.46,315.2,한강,운영,T/M,1001645.0,100111,기후에너지환경부
193,정선군(정선제1교),기후에너지환경부,1.51,1.49,37.17,296.78,한강,운영,T/M,1001655.0,100112,기후에너지환경부
194,정선군(제1여량교),기후에너지환경부,1.67,1.65,8.91,371.14,한강,운영,T/M,1001626.0,100107,기후에너지환경부
195,정선군(혈천교),기후에너지환경부,1.53,1.53,16.1,480.91,한강,운영,T/M,1001622.0,100102,기후에너지환경부
196,제천시(강저3교),기후에너지환경부,0.19,0.19,0.53,227.82,한강,운영,T/M,1003657.0,100314,기후에너지환경부
197,제천시(구곡교),기후에너지환경부,1.5,1.5,3.21,186.77,한강,운영,T/M,1003661.0,100315,기후에너지환경부
198,제천시(덕동교),기후에너지환경부,2.24,2.24,-,266.8,한강,운영,T/M,1003652.0,100316,기후에너지환경부
199,제천시(부수동교),기후에너지환경부,0.73,0.73,1.47,220.36,한강,운영,T/M,1003658.0,100316,기후에너지환경부
200,제천시(송계교),기후에너지환경부,2.4,2.4,-,160.6,한강,운영,T/M,1003654.0,100318,기후에너지환경부
201,제천시(용암교),기후에너지환경부,2.58,2.58,-,228.83,한강,운영,T/M,1003667.0,100317,기후에너지환경부
202,제천시(팔송교),기후에너지환경부,1.25,1.24,0.01,215.95,한강,운영,T/M,1003660.0,100313,기후에너지환경부
203,천안시(안궁교),기후에너지환경부,2.43,2.43,-,1.45,안성천,운영,T/M,1101628.0,110105,기후에너지환경부
204,천안시(안성천교),기후에너지환경부,0.08,0.08,2.77,3.84,안성천,운영,T/M,1101630.0,110107,기후에너지환경부
205,천안시(장천교),기후에너지환경부,2.51,2.52,-,9.88,안성천,운영,T/M,1101631.0,110106,기후에너지환경부
206,철원군(대마리),기후에너지환경부,0.82,0.87,-,181.5,한강,운영,T/M,1021630.0,102107,기후에너지환경부
207,철원군(삼합교),기후에너지환경부,0.86,0.86,-,-,한강,운영,T/M,1022630.0,102201,기후에너지환경부
208,철원군(암정교),기후에너지환경부,3.55,3.53,-,218.31,한강,운영,T/M,1022620.0,102202,기후에너지환경부
209,철원군(장수대교),기후에너지환경부,0.67,0.66,3.12,194,한강,운영,T/M,1022626.0,102202,기후에너지환경부
210,철원군(한탄대교),기후에너지환경부,1.64,1.63,3.38,126.7,한강,운영,T/M,1022635.0,102203,기후에너지환경부
211,청주시(옥화1교),기후에너지환경부,1.26,1.25,-,199.85,한강,운영,T/M,1004620.0,100403,기후에너지환경부
212,청주시(청석굴교),기후에너지환경부,2.66,2.65,-,212.05,한강,운영,T/M,1004616.0,100402,기후에너지환경부
213,춘천시(강촌교),기후에너지환경부,0.31,-0.05,23.35,52.45,한강,운영,T/M,1013645.0,101304,기후에너지환경부
214,춘천시(소양2교),기후에너지환경부,70.69,70.69,-,70.7,한강,운영,T/M,1013637.0,101302,기후에너지환경부
215,춘천시(천전리),기후에너지환경부,-0.18,0.59,-,76.64,한강,운영,T/M,1012685.0,101208,기후에너지환경부
216,춘천시(춘천댐),기후에너지환경부,102.46,102.46,-,102.44,한강,운영,T/M,1010690.0,101011,기후에너지환경부
