,korObs,korInst,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream_x,1차,2차,3차,4차,5차,6차,7차,8차,dateNotice,aFLAdvisory(m),aFLAdvisory(El.m),aFLAlert(m),aFLAlert(El.m),designFloodLevel(m),designFloodLevel(El.m),designFloodCharge(m3/sec),(El.m),heightEmbarkmentLeft(m),heightEmbarkmentLeft(El.m),heightEmbarkmentRight(m),heightEmbarkmentRight(El.m),widthRiver(m)
80,수원시(매세교),기후에너지환경부,안성천,운영,T/M,1101601.0,110112,황구지천,292.0,82.0,20.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,수원시(백년교),기후에너지환경부,안성천,운영,T/M,1101604.0,110112,황구지천,292.0,82.0,20.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,아산시(운교교),기후에너지환경부,안성천,운영,T/M,1101688.0,110107,평택수위표,54.0,17.0,5.0,1.0,3.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,안산시(안산10교),기후에너지환경부,한강서해,운영,T/M,1202650.0,120201,화정천,86.0,38.0,11.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,안성시(건천리),기후에너지환경부,안성천,운영,T/M,1101620.0,110107,평택수위표,54.0,17.0,5.0,1.0,3.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,안성시(고지교),기후에너지환경부,안성천,운영,T/M,1101616.0,110104,청룡천,118.0,33.0,15.0,2.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,안성시(두현교),기후에너지환경부,한강,운영,T/M,1007606.0,100702,죽산천,123.0,35.0,6.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,안성시(옥산대교),기후에너지환경부,안성천,운영,T/M,1101610.0,110101,안성천,399.0,112.0,27.0,6.0,6.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,안성시(평촌교),기후에너지환경부,안성천,운영,T/M,1101611.0,110103,한천,179.0,52.0,13.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,안성시(한천교),기후에너지환경부,안성천,운영,T/M,1101618.0,110103,한천,179.0,52.0,13.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,안성시(한평교),기후에너지환경부,한강,운영,T/M,1007604.0,100701,청미천,286.0,75.0,15.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,안성시(현수교),기후에너지환경부,안성천,운영,T/M,1101606.0,110101,안성천,399.0,112.0,27.0,6.0,6.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,안양시(충훈1교),기후에너지환경부,한강,운영,T/M,1018690.0,101815,안양천,233.0,58.0,10.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,양구군(송청제2교),기후에너지환경부,한강,운영,T/M,1010633.0,101004,서천,133.0,30.0,9.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,양구군(양지교),기후에너지환경부,한강,운영,T/M,1010631.0,101004,서천,133.0,30.0,9.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,양양군(북평교),기후에너지환경부,한강동해,운영,T/M,1301632.0,130106,후천,363.0,89.0,17.0,3.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,양양군(양양대교),기후에너지환경부,한강동해,운영,T/M,1301658.0,130107,양양남대천,410.0,92.0,23.0,5.0,3.0,1.0,-,-,24.04.23,3.9,4.4,4.5,5,5.41,5.91,"3,985",0.5,10.41,10.91,10.45,10.95,-
97,양양군(용천2교),기후에너지환경부,한강동해,운영,T/M,1301630.0,130107,양양남대천,410.0,92.0,23.0,5.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,양주시(마전3교),기후에너지환경부,한강,운영,T/M,1018661.0,101808,중랑천,825.0,239.0,56.0,16.0,4.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,양주시(발운2교),기후에너지환경부,한강,운영,T/M,1022660.0,102211,신천,55.0,14.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,양주시(제궁교),기후에너지환경부,한강,운영,T/M,1019663.0,101905,공릉천,74.0,25.0,7.0,1.0,1.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
