watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,mean_cc_peak,mean_dtw_dist,n_events
1001,1001602,평창군(송정교),1001690,영월군(영월대교),-8.4,6.54,9.0218,0.8802,5
1001,1001630,정선군(나전교),1001690,영월군(영월대교),-8.4,6.39,10.2575,0.7902,5
1001,1001645,정선군(와평교),1001665,평창군(마하교),-8.0,0.0,17.0113,1.536,1
1001,1001655,정선군(정선제1교),1001690,영월군(영월대교),-7.4,6.39,11.0791,0.6281,5
1001,1001625,정선군(송천교),1001690,영월군(영월대교),-7.2,6.57,13.8591,0.7184,5
1001,1001658,정선군(광하교),1001690,영월군(영월대교),-7.2,8.01,11.0003,0.4932,5
1001,1001649,정선군(애산교),1001670,영월군(거운교),-6.2,9.96,12.3658,1.1558,5
1001,1001629,정선군(남평대교),1001641,정선군(각희교),-6.0,0.0,12.4801,1.9994,1
1001,1001649,정선군(애산교),1001665,평창군(마하교),-6.0,0.0,18.9776,1.6478,1
1001,1001645,정선군(와평교),1001670,영월군(거운교),-5.6,10.85,12.393,1.2407,5
1001,1001602,평창군(송정교),1001623,정선군(오장2교),-5.0,0.0,13.8789,1.157,1
1001,1001649,정선군(애산교),1001690,영월군(영월대교),-4.6,9.74,12.9522,0.9707,5
1001,1001645,정선군(와평교),1001690,영월군(영월대교),-4.4,9.84,12.9582,0.9692,5
1001,1001623,정선군(오장2교),1001670,영월군(거운교),-4.0,0.0,15.4057,1.5887,1
1001,1001626,정선군(제1여량교),1001641,정선군(각희교),-4.0,0.0,6.6009,2.8015,1
1001,1001645,정선군(와평교),1001660,정선군(낙동교),-3.4,8.17,11.6397,0.7242,5
1001,1001649,정선군(애산교),1001660,정선군(낙동교),-3.4,7.6,11.6654,0.6973,5
1001,1001625,정선군(송천교),1001660,정선군(낙동교),-3.2,3.9,11.4645,0.7263,5
1001,1001622,정선군(혈천교),1001641,정선군(각희교),-3.0,0.0,14.9033,1.7099,1
1001,1001623,정선군(오장2교),1001650,정선군(삼거리교),-3.0,0.0,5.1184,3.2861,1
1001,1001625,정선군(송천교),1001650,정선군(삼거리교),-3.0,0.0,5.4354,3.3171,1
1001,1001650,정선군(삼거리교),1001660,정선군(낙동교),-3.0,0.0,4.8373,2.4338,1
1001,1001629,정선군(남평대교),1001645,정선군(와평교),-2.6,3.36,11.862,2.4033,5
1001,1001629,정선군(남평대교),1001660,정선군(낙동교),-2.6,5.37,10.8746,1.7343,5
1001,1001602,평창군(송정교),1001660,정선군(낙동교),-2.2,2.39,7.9747,1.1584,5
1001,1001660,정선군(낙동교),1001670,영월군(거운교),-2.2,1.1,11.9076,0.7526,5
1001,1001629,정선군(남평대교),1001658,정선군(광하교),-2.0,4.47,11.3886,1.5697,5
1001,1001630,정선군(나전교),1001660,정선군(낙동교),-2.0,1.73,8.9785,1.1241,5
1001,1001641,정선군(각희교),1001670,영월군(거운교),-2.0,0.0,11.7456,1.7079,1
1001,1001629,정선군(남평대교),1001649,정선군(애산교),-1.8,3.19,12.1705,2.3055,5
1001,1001629,정선군(남평대교),1001655,정선군(정선제1교),-1.8,4.6,11.5334,1.6175,5
1001,1001658,정선군(광하교),1001660,정선군(낙동교),-1.6,3.58,9.4953,0.8563,5
1001,1001602,평창군(송정교),1001625,정선군(송천교),-1.2,2.68,9.7215,1.2527,5
1001,1001602,평창군(송정교),1001645,정선군(와평교),-1.2,7.82,8.9572,1.0752,5
1001,1001629,정선군(남평대교),1001630,정선군(나전교),-1.2,3.9,9.8447,2.8439,5
1001,1001630,정선군(나전교),1001655,정선군(정선제1교),-1.2,0.45,9.8033,0.8392,5
1001,1001655,정선군(정선제1교),1001660,정선군(낙동교),-1.2,2.68,9.5554,0.7273,5
1001,1001602,평창군(송정교),1001658,정선군(광하교),-1.0,1.41,8.5428,0.9372,5
1001,1001622,정선군(혈천교),1001650,정선군(삼거리교),-1.0,0.0,7.0139,2.7055,1
1001,1001623,정선군(오장2교),1001690,영월군(영월대교),-1.0,0.0,17.3363,1.2494,1
1001,1001641,정선군(각희교),1001658,정선군(광하교),-1.0,0.0,10.133,1.6765,1
1001,1001650,정선군(삼거리교),1001670,영월군(거운교),-1.0,0.0,3.5222,2.9772,1
1001,1001630,정선군(나전교),1001658,정선군(광하교),-0.8,1.3,9.6909,0.8474,5
1001,1001602,평창군(송정교),1001649,정선군(애산교),-0.6,6.66,9.1395,1.0934,5
1001,1001602,평창군(송정교),1001655,정선군(정선제1교),-0.6,0.89,8.6213,0.9092,5
1001,1001630,정선군(나전교),1001645,정선군(와평교),-0.6,9.1,10.0291,1.0569,5
1001,1001620,정선군(송계교),1001655,정선군(정선제1교),-0.4,0.89,8.1175,1.6939,5
1001,1001620,정선군(송계교),1001658,정선군(광하교),-0.4,1.52,8.0448,1.6279,5
1001,1001649,정선군(애산교),1001655,정선군(정선제1교),-0.4,8.71,10.5374,1.0766,5
1001,1001649,정선군(애산교),1001658,정선군(광하교),-0.4,8.35,10.4659,1.0495,5
1001,1001602,평창군(송정교),1001629,정선군(남평대교),-0.2,0.45,8.8141,2.8834,5
1001,1001620,정선군(송계교),1001625,정선군(송천교),-0.2,0.45,9.4664,1.5558,5
1001,1001625,정선군(송천교),1001658,정선군(광하교),-0.2,1.1,12.0762,0.53,5
1001,1001630,정선군(나전교),1001649,정선군(애산교),-0.2,7.82,10.1994,1.1316,5
1001,1001655,정선군(정선제1교),1001658,정선군(광하교),-0.2,0.45,10.602,0.2896,5
1001,1001660,정선군(낙동교),1001690,영월군(영월대교),-0.2,0.45,12.301,0.6845,5
1001,1001602,평창군(송정교),1001630,정선군(나전교),0.0,0.0,8.655,0.3615,5
1001,1001602,평창군(송정교),1001641,정선군(각희교),0.0,0.0,11.0051,2.0223,1
1001,1001620,정선군(송계교),1001623,정선군(오장2교),0.0,0.0,14.9775,0.9117,1
1001,1001622,정선군(혈천교),1001623,정선군(오장2교),0.0,0.0,18.2961,1.2423,1
1001,1001623,정선군(오장2교),1001625,정선군(송천교),0.0,0.0,20.0606,0.8032,1
1001,1001623,정선군(오장2교),1001641,정선군(각희교),0.0,0.0,15.6965,1.5904,1
1001,1001623,정선군(오장2교),1001655,정선군(정선제1교),0.0,0.0,14.0912,1.3904,1
1001,1001623,정선군(오장2교),1001658,정선군(광하교),0.0,0.0,13.0667,1.4501,1
1001,1001623,정선군(오장2교),1001660,정선군(낙동교),0.0,0.0,13.0926,1.144,1
1001,1001625,정선군(송천교),1001641,정선군(각희교),0.0,0.0,14.9978,1.6287,1
1001,1001625,정선군(송천교),1001655,정선군(정선제1교),0.0,0.71,12.194,0.5739,5
1001,1001629,정선군(남평대교),1001665,평창군(마하교),0.0,0.0,15.6915,1.4996,1
1001,1001629,정선군(남평대교),1001695,영월군(신촌교),0.0,0.0,16.6337,2.7475,1
1001,1001630,정선군(나전교),1001641,정선군(각희교),0.0,0.0,11.5546,1.9756,1
1001,1001641,정선군(각희교),1001655,정선군(정선제1교),0.0,0.0,10.787,1.8215,1
1001,1001641,정선군(각희교),1001660,정선군(낙동교),0.0,0.0,11.0923,1.232,1
1001,1001641,정선군(각희교),1001690,영월군(영월대교),0.0,0.0,13.1945,1.913,1
1001,1001645,정선군(와평교),1001655,정선군(정선제1교),0.0,9.97,10.3268,1.1263,5
1001,1001645,정선군(와평교),1001695,영월군(신촌교),0.0,0.0,19.4012,1.1876,1
1001,1001649,정선군(애산교),1001695,영월군(신촌교),0.0,0.0,20.8774,1.2076,1
1001,1001620,정선군(송계교),1001660,정선군(낙동교),0.2,0.45,7.8136,1.6537,5
1001,1001645,정선군(와평교),1001649,정선군(애산교),0.2,0.45,13.7467,0.315,5
1001,1001645,정선군(와평교),1001658,정선군(광하교),0.4,8.76,10.2925,1.1059,5
1001,1001625,정선군(송천교),1001630,정선군(나전교),1.0,2.24,11.1764,1.147,5
1001,1001625,정선군(송천교),1001645,정선군(와평교),1.6,17.34,12.221,1.4069,5
1001,1001620,정선군(송계교),1001629,정선군(남평대교),2.0,6.28,11.0405,1.7531,5
1001,1001620,정선군(송계교),1001641,정선군(각희교),2.0,0.0,12.7505,1.3665,1
1001,1001625,정선군(송천교),1001649,정선군(애산교),2.0,16.03,12.4186,1.3506,5
1001,1001641,정선군(각희교),1001650,정선군(삼거리교),2.0,0.0,6.0368,2.097,1
1001,1001602,평창군(송정교),1001665,평창군(마하교),3.0,0.0,13.6199,1.1465,1
1001,1001622,정선군(혈천교),1001626,정선군(제1여량교),3.0,5.61,9.2318,1.7777,5
1001,1001670,영월군(거운교),1001690,영월군(영월대교),3.0,2.74,13.8528,0.5382,5
1001,1001625,정선군(송천교),1001629,정선군(남평대교),3.2,8.32,13.725,1.4131,5
1001,1001620,정선군(송계교),1001622,정선군(혈천교),3.8,5.5,10.4616,2.0828,5
1001,1001623,정선군(오장2교),1001626,정선군(제1여량교),4.0,0.0,8.1191,2.8432,1
1001,1001623,정선군(오장2교),1001630,정선군(나전교),4.0,0.0,14.8638,1.3071,1
1001,1001620,정선군(송계교),1001626,정선군(제1여량교),4.8,10.89,8.7022,2.1659,5
1001,1001641,정선군(각희교),1001665,평창군(마하교),5.0,0.0,12.8271,1.9293,1
1001,1001620,정선군(송계교),1001650,정선군(삼거리교),6.0,0.0,5.1531,2.5351,1
1001,1001626,정선군(제1여량교),1001665,평창군(마하교),6.0,0.0,7.9253,2.9869,1
1001,1001626,정선군(제1여량교),1001695,영월군(신촌교),6.0,0.0,8.2781,3.0995,1
1001,1001622,정선군(혈천교),1001665,평창군(마하교),7.0,0.0,13.8992,2.5766,1
1001,1001660,정선군(낙동교),1001665,평창군(마하교),7.0,0.0,11.1635,1.588,1
1001,1001620,정선군(송계교),1001665,평창군(마하교),8.0,0.0,13.2782,1.6776,1
