obscd,korObs,rank,neighbor_obscd,neighbor_korObs,dtw_dist
1007620,여주시(강천리),4,1002687,영월군(신천교),0.8437
1007620,여주시(강천리),5,1006660,횡성군(전천교),0.9113
1007625,여주시(남한강교),1,1007635,여주시(여주대교),0.9106
1007625,여주시(남한강교),2,1007620,여주시(강천리),1.1168
1007625,여주시(남한강교),3,1006680,원주시(지정대교),1.1902
1007625,여주시(남한강교),4,1006660,횡성군(전천교),1.2778
1007625,여주시(남한강교),5,1007640,여주시(율극교),1.3422
1007633,강천보(상류),1,1007639,여주보(상류),2.8246
1007633,강천보(상류),2,1007662,이포보(상류),3.1801
1007633,강천보(상류),3,1007697,양평군(신원리),4.5996
1007633,강천보(상류),4,1005605,충주시(탄금교),5.2712
1007633,강천보(상류),5,1007604,안성시(한평교),6.375
1007634,강천보(하류),1,1006672,원주시(장현교),1.1126
1007634,강천보(하류),2,1002687,영월군(신천교),1.2565
1007634,강천보(하류),3,1002685,영월군(주천교),1.2794
1007634,강천보(하류),4,1003661,제천시(구곡교),1.2811
1007634,강천보(하류),5,1006670,원주시(옥산교),1.2897
1007635,여주시(여주대교),1,1007625,여주시(남한강교),0.9106
1007635,여주시(여주대교),2,1007620,여주시(강천리),0.9174
1007635,여주시(여주대교),3,1006660,횡성군(전천교),0.9638
1007635,여주시(여주대교),4,1006680,원주시(지정대교),1.0697
1007635,여주시(여주대교),5,1007641,여주보(하류),1.2813
1007639,여주보(상류),1,1007633,강천보(상류),2.8246
1007639,여주보(상류),2,1005605,충주시(탄금교),3.0774
1007639,여주보(상류),3,1007662,이포보(상류),3.1966
1007639,여주보(상류),4,1007697,양평군(신원리),4.4158
1007639,여주보(상류),5,1007604,안성시(한평교),5.6088
1007640,여주시(율극교),1,1006660,횡성군(전천교),1.088
1007640,여주시(율극교),2,1006680,원주시(지정대교),1.2894
1007640,여주시(율극교),3,1007635,여주시(여주대교),1.2943
1007640,여주시(율극교),4,1007620,여주시(강천리),1.3181
1007640,여주시(율극교),5,1007625,여주시(남한강교),1.3422
1007641,여주보(하류),1,1007664,이포보(하류),0.5212
1007641,여주보(하류),2,1007620,여주시(강천리),0.6624
1007641,여주보(하류),3,1006690,원주시(문막교),0.9526
1007641,여주보(하류),4,1006685,원주시(봉미교),0.9994
1007641,여주보(하류),5,1006672,원주시(장현교),1.005
1007642,이천시(동산교),1,1007650,여주시(흥천대교),2.3787
1007642,이천시(동산교),2,1007645,이천시(복하교),3.0211
1007642,이천시(동산교),3,1002675,횡성군(안흥교),3.0895
1007642,이천시(동산교),4,1002635,평창군(사초교),3.1435
1007642,이천시(동산교),5,1001602,평창군(송정교),3.1675
1007645,이천시(복하교),1,1001658,정선군(광하교),2.6657
1007645,이천시(복하교),2,1007604,안성시(한평교),2.6965
1007645,이천시(복하교),3,1001660,정선군(낙동교),2.6979
1007645,이천시(복하교),4,1001655,정선군(정선제1교),2.7023
1007645,이천시(복하교),5,1001625,정선군(송천교),2.7732
1007650,여주시(흥천대교),1,1002610,평창군(장평교),1.1766
1007650,여주시(흥천대교),2,1001602,평창군(송정교),1.2428
1007650,여주시(흥천대교),3,1007655,여주시(양촌교),1.3533
1007650,여주시(흥천대교),4,1002635,평창군(사초교),1.3871
1007650,여주시(흥천대교),5,1002605,평창군(이목정교),1.3898
1007655,여주시(양촌교),1,1002675,횡성군(안흥교),0.9508
1007655,여주시(양촌교),2,1002680,영월군(두학교),1.023
1007655,여주시(양촌교),3,1002625,평창군(선애교),1.1543
1007655,여주시(양촌교),4,1007690,양평군(봉상교),1.1746
1007655,여주시(양촌교),5,1007680,양평군(흑천교),1.1829
1007662,이포보(상류),1,1007633,강천보(상류),3.1801
1007662,이포보(상류),2,1007639,여주보(상류),3.1966
1007662,이포보(상류),3,1005605,충주시(탄금교),4.4257
1007662,이포보(상류),4,1007697,양평군(신원리),4.8557
1007662,이포보(상류),5,1007604,안성시(한평교),7.1242
1007664,이포보(하류),1,1007641,여주보(하류),0.5212
1007664,이포보(하류),2,1007620,여주시(강천리),0.9762
1007664,이포보(하류),3,1006690,원주시(문막교),1.0105
1007664,이포보(하류),4,1002685,영월군(주천교),1.1022
1007664,이포보(하류),5,1006672,원주시(장현교),1.1663
1007680,양평군(흑천교),1,1007690,양평군(봉상교),0.596
1007680,양평군(흑천교),2,1002625,평창군(선애교),1.0032
1007680,양평군(흑천교),3,1002680,영월군(두학교),1.0117
1007680,양평군(흑천교),4,1002675,횡성군(안흥교),1.0655
1007680,양평군(흑천교),5,1007655,여주시(양촌교),1.1829
1007685,양평군(양평교),1,1007664,이포보(하류),1.8228
1007685,양평군(양평교),2,1007635,여주시(여주대교),1.8699
1007685,양평군(양평교),3,1007620,여주시(강천리),1.8825
1007685,양평군(양평교),4,1006630,횡성군(오산교),1.8931
1007685,양평군(양평교),5,1007641,여주보(하류),2.0209
1007690,양평군(봉상교),1,1007680,양평군(흑천교),0.596
1007690,양평군(봉상교),2,1002680,영월군(두학교),1.0848
1007690,양평군(봉상교),3,1002675,횡성군(안흥교),1.1613
1007690,양평군(봉상교),4,1007655,여주시(양촌교),1.1746
1007690,양평군(봉상교),5,1003661,제천시(구곡교),1.422
1007697,양평군(신원리),1,1007639,여주보(상류),4.4158
1007697,양평군(신원리),2,1007633,강천보(상류),4.5996
1007697,양평군(신원리),3,1007642,이천시(동산교),4.6419
1007697,양평군(신원리),4,1007662,이포보(상류),4.8557
1007697,양평군(신원리),5,1002675,횡성군(안흥교),5.2503
