watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,n_events
1007,1007620,여주시(강천리),1007650,여주시(흥천대교),-29.0,11.94,5
1007,1007625,여주시(남한강교),1007650,여주시(흥천대교),-29.0,11.94,5
1007,1007620,여주시(강천리),1007645,이천시(복하교),-28.6,11.26,5
1007,1007625,여주시(남한강교),1007645,이천시(복하교),-28.6,11.26,5
1007,1007639,여주보(상류),1007642,이천시(동산교),-27.8,10.73,5
1007,1007639,여주보(상류),1007650,여주시(흥천대교),-26.4,10.83,5
1007,1007635,여주시(여주대교),1007642,이천시(동산교),-26.0,12.45,5
1007,1007639,여주보(상류),1007645,이천시(복하교),-26.0,10.34,5
1007,1007635,여주시(여주대교),1007650,여주시(흥천대교),-24.6,12.99,5
1007,1007635,여주시(여주대교),1007645,이천시(복하교),-24.2,12.13,5
1007,1007634,강천보(하류),1007655,여주시(양촌교),-24.0,15.1,5
1007,1007634,강천보(하류),1007690,양평군(봉상교),-23.8,12.77,5
1007,1007634,강천보(하류),1007680,양평군(흑천교),-23.4,13.32,5
1007,1007641,여주보(하류),1007655,여주시(양촌교),-23.4,13.16,5
1007,1007641,여주보(하류),1007690,양평군(봉상교),-23.2,10.96,5
1007,1007637,여주시(당우교),1007685,양평군(양평교),-23.0,0.0,1
1007,1007637,여주시(당우교),1007697,양평군(신원리),-23.0,0.0,1
1007,1007641,여주보(하류),1007680,양평군(흑천교),-22.8,11.5,5
1007,1007620,여주시(강천리),1007655,여주시(양촌교),-21.4,13.22,5
1007,1007625,여주시(남한강교),1007655,여주시(양촌교),-21.4,13.22,5
1007,1007620,여주시(강천리),1007690,양평군(봉상교),-21.2,10.83,5
1007,1007625,여주시(남한강교),1007690,양평군(봉상교),-21.2,10.83,5
1007,1007610,음성군(총천교),1007637,여주시(당우교),-21.0,0.0,1
1007,1007620,여주시(강천리),1007680,양평군(흑천교),-20.8,11.37,5
1007,1007625,여주시(남한강교),1007680,양평군(흑천교),-20.8,11.37,5
1007,1007620,여주시(강천리),1007633,강천보(상류),-20.4,11.44,5
1007,1007625,여주시(남한강교),1007633,강천보(상류),-20.4,11.44,5
1007,1007634,강천보(하류),1007697,양평군(신원리),-20.4,13.09,5
1007,1007637,여주시(당우교),1007664,이포보(하류),-20.0,0.0,1
1007,1007641,여주보(하류),1007697,양평군(신원리),-19.8,12.38,5
