대권역,관측소 명,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
안성천,용인시(전궁교),운영,T/M,1101656,110114,기후에너지환경부
안성천,평택시(진위1교),운영,T/M,1101663,110114,기후에너지환경부
안성천,평택시(회화리),운영,T/M,1101665,110114,기후에너지환경부
안성천,평택시(동연교),운영,T/M,1101670,110115,기후에너지환경부
안성천,평택시(팽성대교),운영,T/M,1101680,110116,기후에너지환경부
안성천,아산시(운교교),운영,T/M,1101688,110107,기후에너지환경부
안성천,아산만(내),운영,T/M,1101695,110118,한국농어촌공사
안성천,아산만(외),운영,T/M,1101696,110118,한국농어촌공사
한강서해,강화군(강화대교),운영,T/M,1201620,120104,기후에너지환경부
한강서해,아라서해갑문(내),운영,T/M,1201651,120102,한국수자원공사
한강서해,아라서해갑실(남),운영,T/M,1201652,120102,한국수자원공사
한강서해,아라서해갑문(외),운영,T/M,1201653,120102,한국수자원공사
한강서해,아라서해갑실(북),운영,T/M,1201654,120102,한국수자원공사
한강서해,인천시(연수교),운영,T/M,1201660,120102,기후에너지환경부
한강서해,안산시(안산10교),운영,T/M,1202650,120201,기후에너지환경부
한강서해,화성시(발안천2교),운영,T/M,1202668,120206,기후에너지환경부
한강동해,속초시(도문교),운영,T/M,1301625,130105,기후에너지환경부
한강동해,양양군(용천2교),운영,T/M,1301630,130107,기후에너지환경부
한강동해,양양군(북평교),운영,T/M,1301632,130106,기후에너지환경부
한강동해,양양군(양양대교),운영,T/M,1301658,130107,기후에너지환경부
한강동해,오봉,운영,T/M,1302645,130203,한국농어촌공사
한강동해,강릉시(오봉교),운영,T/M,1302646,130204,기후에너지환경부
한강동해,강릉시(회산교),운영,T/M,1302648,130204,기후에너지환경부
한강동해,동해시(원평교),운영,T/M,1302665,130207,한국수자원공사
한강동해,동해시(북평교),운영,T/M,1302668,130207,기후에너지환경부
한강동해,강릉시(송림교),운영,T/M,1302670,130201,기후에너지환경부
한강동해,삼척시(남양촌교),운영,T/M,1303610,130305,기후에너지환경부
한강동해,삼척시(전두3교),운영,T/M,1303640,130301,기후에너지환경부
한강동해,삼척시(마차교),운영,T/M,1303645,130301,기후에너지환경부
한강동해,삼척시(상정교),운영,T/M,1303650,130302,기후에너지환경부
한강동해,삼척시(오십천교),운영,T/M,1303680,130302,기후에너지환경부
