수계,하천명 ,본류,하천코드,하천등급,시도기점,시군구기점,읍면동기점,경계기점,시도종점,시군구종점,읍면동종점,경계종점
한강,승당천,한강,1020420,지방,강원,영월,남,연당리 197-1,강원,영월,남,연당리 856-7 (연당천 합류점)
한강,문곡천,한강,1020430,지방,강원,영월,북,공기리 고산골천(소)합류점,강원,영월,남,평창강(국가) 합류점
한강,마차천,한강,1020440,지방,강원,영월,북,마차리학전 합류점,강원,영월,북,문곡천(지방) 합류점
한강,옥동천,한강,1020450,지방,강원,영월,상동,천평리 농거교,강원,영월,김삿갓,한강(국가) 합류점
한강,덕구천,한강,1020460,지방,강원,영월,상동,덕구리삼동산 합류점,강원,영월,상동,옥동천(지방) 합류점
한강,내리천,한강,1020470,지방,강원,영월,김삿갓,"내리강원, 경북도계",강원,영월,김삿갓,옥동천(지방) 합류점
한강,마포천,한강,1020480,지방,충북,단양,영춘,충북도계,강원,영월,하동,옥동천(지방) 합류점
한강,동대천,한강,1020490,지방,충북,단양,영춘,동대리,충북,단양,영춘,한강(국가) 합류점
한강,남천,한강,1020500,지방,충북,단양,영춘,남천리,충북,단양,영춘,한강(국가) 합류점
한강,사이곡천,한강,1020510,지방,충북,단양,영춘,사이곡리,충북,단양,영춘,한강(국가) 합류점
한강,사지원천,한강,1020520,지방,충북,단양,영춘,사지원리 (충북강원도계),충북,단양,영춘,사이곡천(지방) 합류점
한강,보발천,한강,1020530,지방,충북,단양,가곡,보발73-1번지선,충북,단양,가곡,한강(국가) 합류점
한강,어곡천,한강,1020540,지방,충북,단양,어상천,연곡리 술미천 (지방) 합류점,충북,단양,어상천,한강(국가) 합류점
한강,임현천,한강,1020550,지방,충북,단양,어상천,임현리,충북,단양,어상천,어곡천(지방) 합류점
한강,하일천,한강,1020560,지방,충북,단양,가곡,어의곡리,충북,단양,가곡,한강(국가) 합류점
한강,매포천,한강,1020570,지방,충북,단양,매포,제천시대랑동과 매포면시군계,충북,단양,매포,한강(국가) 합류점
한강,대가리천,한강,1020580,지방,충북,단양,적성,대가리,충북,단양,매포,매포천(지방) 합류점
한강,솔티천,한강,1020590,지방,충북,단양,단양,천동리 산 9-1,충북,단양,단양,한강(국가) 합류점
한강,노동천,한강,1020600,지방,충북,단양,단양,마조리,충북,단양,단양,한강(국가) 합류점
한강,죽령천,한강,1020610,지방,충북,단양,대강,용부원리,충북,단양,단성,한강(국가) 합류점
한강,남조천,한강,1020620,지방,충북,단양,대강,남조리,충북,단양,대강,죽령천(지방) 합류점
한강,올산천,한강,1020630,지방,충북,단양,대강,올산리 463-2,충북,단양,대강,황정리 144-1 남조천(지방)합류점
한강,단양천,한강,1020640,지방,충북,단양,단성,벌천리,충북,단양,단성,한강(국가) 합류점
한강,상리천,한강,1020650,지방,충북,단양,적성,상리 1412번지선,충북,단양,적성,한강(국가) 합류점
한강,수산천,한강,1020660,지방,충북,제천,수산,한길가천(소) 합류점,충북,제천,수산,한강(국가) 합류점
한강,고교천,한강,1020670,지방,충북,제천,금성,동막리,충북,제천,금성,한강(국가) 합류점
한강,장선천,한강,1020680,지방,충북,제천,청풍,장선리,충북,제천,청풍,한강(국가) 합류점
한강,고명천,한강,1020690,지방,충북,제천,수산,고명리,충북,제천,수산,한강(국가) 합류점
한강,제천천,한강,1020700,지방,충북,제천,봉양,학산리 강원도 도계,충북,충주,산척,한강(국가) 합류점
한강,주포천,한강,1020710,지방,강원,원주,신림,성남리 회목동 합류점,강원,원주,신림,용암리 충북도계
한강,팔송천,한강,1020720,지방,충북,제천,봉양,명암리,강원,제천,봉양,제천천(지방) 합류점
한강,장평천,한강,1020730,지방,충북,제천,자작,자작동,충북,제천,봉양,장평리 제천천 (지방) 합류점
한강,고암천,한강,1020740,지방,충북,제천,고암,고암동,충북,제천,동현,장평천(지방) 합류점
한강,하소천,한강,1020760,지방,충북,제천,신월,신월동,충북,제천,영천,장평천(지방) 합류점
한강,미당천,한강,1020770,지방,충북,제천,봉양,미당리,충북,제천,봉양,장평천(지방) 합류점
한강,원박천,한강,1020780,지방,충북,제천,봉양,원박리 903-3전,충북,제천,봉양,제천천(지방) 합류점
한강,원서천,한강,1020790,지방,충북,제천,백운,운학리,충북,충주,산척,제천천(지방) 합류점
한강,운학천,한강,1020800,지방,충북,제천,백운,운학리,충북,제천,백운,원서천(지방) 합류점
한강,화당천,한강,1020810,지방,충북,제천,백운,화당447천,충북,제천,백운,원서천(지방) 합류점
한강,광천,한강,1020820,지방,충북,제천,덕산,월악리,충북,제천,한수,한강(국가) 합류점
한강,성천,한강,1020830,지방,충북,제천,덕산,도기리 715,충북,제천,덕산,광천(지방) 합류점
한강,동달천,한강,1020840,지방,충북,충주,상모,미곡리,충북,제천,덕산,한강(국가) 합류점
한강,조동천,한강,1020860,지방,충북,충주,동량,조동리,충북,충주,동량,남한강(국가) 합류점
한강,달천,한강,1020870,지방,충북,보은,속리산,사내리,충북,청주,미원,달천(국가) 기점
한강,흑천,한강,1020880,지방,충북,보은,내북,염둔리,충북,보은,내북,달천(지방) 합류점
한강,감천,한강,1020890,지방,충북,청원,낭성,무성리,충북,청원,미원,달천(지방) 합류점
한강,인경천,한강,1020900,지방,충북,청원,낭성,인경리,충북,청원,낭성,감천(지방) 합류점
한강,미원천,한강,1020910,지방,충북,청주,상당구,대신리,충북,청주,상당구,감천(지방) 합류점
한강,중리천,한강,1020920,지방,충북,청주,미원,중리,충북,청원,미원,미원천(지방) 합류점
한강,신월천,한강,1020930,지방,충북,괴산,청천,상신리,충북,괴산,청천,달천(국가) 합류점
한강,구룡천,한강,1020940,지방,충북,청원,미원,대덕리,충북,괴산,청천,달천(국가) 합류점
한강,압항천,한강,1020950,지방,충북,괴산,청안,문당리,충북,괴산,청천,달천(국가) 합류점
한강,황암천,한강,1020960,지방,충북,괴산,청안,장암리 679-4,충북,괴산,청안,압항천(지방) 합류점
한강,화양천,한강,1020970,지방,충북,괴산,청천,이평리,충북,괴산,청천,달천(국가) 합류점
한강,관평천,한강,1020980,지방,충북,괴산,청천,관평리,충북,괴산,청천,화양천(지방) 합류점
한강,대전천,한강,1020990,지방,충북,괴산,청천,여사왕리,충북,괴산,청천,달천(국가) 합류점
한강,흑석천,한강,1021000,지방,충북,괴산,문광,옥성리,충북,괴산,문광,달천(국가) 합류점
한강,쌍천,한강,1021010,지방,충북,괴산,연풍,주진리 산6-5번지,충북,괴산,칠성,달천(국가) 합류점
한강,원풍천,한강,1021020,지방,충북,괴산,연풍,원풍리,충북,괴산,연풍,쌍천(지방) 합류점
한강,행목동천,한강,1021030,지방,충북,괴산,칠성,쌍곡리 188-8번지,충북,괴산,칠성,쌍천(지방) 합류점
한강,동진천,한강,1021040,지방,충북,괴산,소수,길선리 143번지,충북,괴산,괴산,달천(지방) 합류점
한강,고마천,한강,1021050,지방,충북,괴산,소수,소암리 500-2번지,충북,괴산,소수,동진천(지방) 합류점
한강,성황천,한강,1021060,지방,충북,괴산,사리,수암리 894번지,충북,괴산,괴산,동부리 동진천 (지방) 합류점
한강,안민천,한강,1021070,지방,충북,괴산,감물,매전리 산41-1,충북,괴산,감물,달천(국가) 합류점
한강,신항천,한강,1021080,지방,충북,괴산,괴산,신항리,충북,괴산,불정,달천(국가) 합류점
한강,건개천,한강,1021090,지방,충북,괴산,불정,신흥리,충북,괴산,불정,신항천(지방) 합류점
