지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m)
영월군(옥동교),기후에너지환경부,1.7,1.69,9.7,185.66
영월군(주채교),기후에너지환경부,2.1,2.09,-,425.48
영월군(주천교),기후에너지환경부,1.13,1.13,11.85,241.69
영월군(충혼교),기후에너지환경부,1.24,1.23,-,270.91
영월군(팔괴교),기후에너지환경부,0.88,0.87,31.88,182.09
영월군(화병교),기후에너지환경부,5.69,5.68,-,201.44
오산시(탑동대교),기후에너지환경부,0.83,0.83,3.07,11.57
용인시(덕성1교),기후에너지환경부,2.79,2.79,-,59.99
용인시(마전교),기후에너지환경부,2.86,2.86,-,92.1
용인시(월촌교),기후에너지환경부,0.57,0.56,-,50.11
용인시(전궁교),기후에너지환경부,2.71,2.71,-,21.68
원주시(가현교),기후에너지환경부,3.56,3.56,-,98.4
원주시(남한강대교),기후에너지환경부,0.69,0.7,149.65,40.38
원주시(동부교),기후에너지환경부,0.18,0.17,-,151.12
원주시(문막교),기후에너지환경부,1.11,1.11,39.81,51.83
원주시(법천교),기후에너지환경부,0.76,0.76,-,44.6
원주시(봉미교),기후에너지환경부,2.5,2.49,-,98.53
원주시(옥산교),기후에너지환경부,0.36,0.37,-,80.95
원주시(원주교),기후에너지환경부,0.38,0.38,1.4,120.1
원주시(장현교),기후에너지환경부,1.04,1.04,9.99,78.62
원주시(지정대교),기후에너지환경부,1.18,1.19,12.68,60.68
원주시(판대2교),기후에너지환경부,2.62,2.61,-,83.1
음성군(병암교),기후에너지환경부,1.93,1.93,-,79.49
음성군(상우교),기후에너지환경부,1.78,1.78,-,69.77
음성군(총천교),기후에너지환경부,1.16,1.16,12.75,68.29
의정부시(금신교),기후에너지환경부,2.88,2.88,-,36.83
의정부시(신곡교),기후에너지환경부,0.43,0.42,0.9,33.48
이천시(고당교),기후에너지환경부,2.48,2.48,-,68.34
이천시(동산교),기후에너지환경부,1.48,1.47,3.43,60.46
이천시(복하교),기후에너지환경부,-0.38,-0.37,0.89,46.05
이천시(장호원교),기후에너지환경부,0.95,0.95,1.88,57.63
이포보(상류),기후에너지환경부,28.21,28.22,173.47,28.22
이포보(하류),기후에너지환경부,25.05,25.12,-,25.12
인제군(리빙스턴교),기후에너지환경부,1.59,1.58,13.94,194.52
인제군(반월촌교),기후에너지환경부,4.83,4.86,-,-
인제군(서호교),기후에너지환경부,3.09,3.08,-,285.25
인제군(십이선녀교),기후에너지환경부,3.55,3.55,-,305.9
인제군(양지교),기후에너지환경부,1.23,1.23,5.44,341.74
인제군(왕성동교),기후에너지환경부,0.8,0.8,13.27,374.61
인제군(진동2교),기후에너지환경부,3.27,3.27,-,385.96
인제군(하죽천교),기후에너지환경부,1.69,1.69,23.25,262.9
인제군(현리교),기후에너지환경부,0.68,0.67,4.28,286.63
인천시(굴포1교),기후에너지환경부,2.28,2.28,-,5.33
인천시(상야교),기후에너지환경부,1.28,1.35,-,3.12
인천시(연수교),기후에너지환경부,2.33,2.33,-,0.49
정선군(각희교),기후에너지환경부,2.41,2.41,-,524.99
정선군(광탄교),기후에너지환경부,1.6,1.59,-,298.21
